task,percent_correct,avg_rt,combined,when,date_downloaded
2-back,72.22,597.97 ms,827.95,19 hours ago,"9:36 AM, Monday"
2-back,73.33,802.94 ms,"1,094.92",31 minutes ago,"9:36 AM, Monday"
2-back,93.33,793.74 ms,850.43,1 hour ago,"9:36 AM, Monday"
2-back,93.33,896.02 ms,960.02,1 hour ago,"9:36 AM, Monday"
2-back,78.57,988.95 ms,"1,258.66",2 hours ago,"9:36 AM, Monday"
2-back,64.29,947.97 ms,"1,474.62",3 hours ago,"7:45 AM, Tuesday"
2-back,33.33,"1,277.54 ms","3,832.61",5 hours ago,"7:45 AM, Tuesday"
2-back,93.33,739.95 ms,792.8,5 hours ago,"7:45 AM, Tuesday"
2-back,100,777.40 ms,777.4,6 hours ago,"7:45 AM, Tuesday"
2-back,80,937.86 ms,"1,172.33",6 hours ago,"7:45 AM, Tuesday"
2-back,92.86,"1,099.97 ms","1,184.59",6 hours ago,"7:45 AM, Tuesday"
2-back,85.71,797.01 ms,929.85,7 hours ago,"7:45 AM, Tuesday"
2-back,75,848.29 ms,"1,131.06",7 hours ago,"7:45 AM, Tuesday"
2-back,100,886.37 ms,886.37,7 hours ago,"7:45 AM, Tuesday"
2-back,66.67,939.76 ms,"1,409.64",7 hours ago,"7:45 AM, Tuesday"
2-back,40,"1,001.59 ms","2,503.99",7 hours ago,"7:45 AM, Tuesday"
2-back,43.75,884.72 ms,"2,022.21",8 hours ago,"7:45 AM, Tuesday"
2-back,35.71,960.22 ms,"2,688.61",8 hours ago,"7:45 AM, Tuesday"
2-back,46.67,736.04 ms,"1,577.23",8 hours ago,"7:45 AM, Tuesday"
2-back,100,670.97 ms,670.97,9 hours ago,"7:45 AM, Tuesday"
2-back,66.67,961.13 ms,"1,441.69",9 hours ago,"7:45 AM, Tuesday"
2-back,100,786.54 ms,786.54,9 hours ago,"7:45 AM, Tuesday"
2-back,86.67,788.80 ms,910.15,9 hours ago,"7:45 AM, Tuesday"
2-back,46.67,953.51 ms,"2,043.24",10 hours ago,"7:45 AM, Tuesday"
2-back,86.67,558.20 ms,644.08,10 hours ago,"7:45 AM, Tuesday"
2-back,80,696.18 ms,870.22,10 hours ago,"7:45 AM, Tuesday"
2-back,100,705.75 ms,705.75,11 hours ago,"7:45 AM, Tuesday"
2-back,80,954.42 ms,"1,193.02",12 hours ago,"7:45 AM, Tuesday"
2-back,87.5,853.20 ms,975.09,12 hours ago,"7:45 AM, Tuesday"
2-back,31.25,"1,064.58 ms","3,406.67",12 hours ago,"7:45 AM, Tuesday"
2-back,40,965.73 ms,"2,414.31",27 minutes ago,"4:57 PM, Tuesday"
2-back,71.43,977.29 ms,"1,368.20",1 hour ago,"4:57 PM, Tuesday"
2-back,66.67,"1,082.07 ms","1,623.10",1 hour ago,"4:57 PM, Tuesday"
2-back,66.67,791.94 ms,"1,187.92",4 hours ago,"4:57 PM, Tuesday"
2-back,73.33,628.78 ms,857.42,4 hours ago,"4:57 PM, Tuesday"
2-back,73.33,860.87 ms,"1,173.91",4 hours ago,"4:57 PM, Tuesday"
2-back,35.29,544.11 ms,"1,541.65",4 hours ago,"4:57 PM, Tuesday"
2-back,80,955.86 ms,"1,194.83",5 hours ago,"4:57 PM, Tuesday"
2-back,60,903.66 ms,"1,506.09",5 hours ago,"4:57 PM, Tuesday"
2-back,53.33,977.32 ms,"1,832.48",5 hours ago,"4:57 PM, Tuesday"
2-back,80,"1,036.73 ms","1,295.91",9 hours ago,"4:57 PM, Tuesday"
2-back,80,821.77 ms,"1,027.21",11 hours ago,"4:57 PM, Tuesday"
2-back,53.33,954.98 ms,"1,790.59",17 minutes ago,"8:49 AM, Wednesday"
2-back,80,866.35 ms,"1,082.93",40 minutes ago,"8:49 AM, Wednesday"
2-back,40,"1,235.59 ms","3,088.98",1 hour ago,"8:49 AM, Wednesday"
2-back,86.67,759.72 ms,876.6,4 hours ago,"8:49 AM, Wednesday"
2-back,43.75,460.54 ms,"1,052.67",4 hours ago,"8:49 AM, Wednesday"
2-back,71.43,640.64 ms,896.89,5 hours ago,"8:49 AM, Wednesday"
2-back,100,825.75 ms,825.75,5 hours ago,"8:49 AM, Wednesday"
2-back,73.33,875.42 ms,"1,193.75",5 hours ago,"8:49 AM, Wednesday"
2-back,80,531.12 ms,663.9,6 hours ago,"8:49 AM, Wednesday"
2-back,93.33,829.22 ms,888.45,6 hours ago,"8:49 AM, Wednesday"
2-back,80,834.51 ms,"1,043.13",7 hours ago,"8:49 AM, Wednesday"
2-back,60,926.08 ms,"1,543.47",7 hours ago,"8:49 AM, Wednesday"
2-back,100,761.40 ms,761.4,7 hours ago,"8:49 AM, Wednesday"
2-back,66.67,992.65 ms,"1,488.97",7 hours ago,"8:49 AM, Wednesday"
2-back,69.05,825.46 ms,"1,195.49",7 hours ago,"8:49 AM, Wednesday"
2-back,73.33,820.46 ms,"1,118.80",8 hours ago,"8:49 AM, Wednesday"
2-back,93.33,648.67 ms,695.01,8 hours ago,"8:49 AM, Wednesday"
2-back,50,972.46 ms,"1,944.92",8 hours ago,"8:49 AM, Wednesday"
2-back,86.67,576.45 ms,665.13,8 hours ago,"8:49 AM, Wednesday"
2-back,73.33,889.00 ms,"1,212.28",8 hours ago,"8:49 AM, Wednesday"
2-back,80,757.58 ms,946.97,8 hours ago,"8:49 AM, Wednesday"
2-back,93.33,675.92 ms,724.2,8 hours ago,"8:49 AM, Wednesday"
2-back,93.33,779.32 ms,834.98,9 hours ago,"8:49 AM, Wednesday"
2-back,73.33,"1,058.55 ms","1,443.47",9 hours ago,"8:49 AM, Wednesday"
2-back,63.64,801.54 ms,"1,259.57",9 hours ago,"8:49 AM, Wednesday"
3-back,40,962.18 ms,"2,405.45",16 hours ago,"12:15 PM, Sunday"
3-back,46.67,880.35 ms,"1,886.46",16 hours ago,"12:15 PM, Sunday"
3-back,86.67,894.30 ms,"1,031.88",16 hours ago,"12:15 PM, Sunday"
3-back,60,"1,069.83 ms","1,783.04",16 hours ago,"12:15 PM, Sunday"
3-back,26.67,"1,258.98 ms","4,721.18",16 hours ago,"12:15 PM, Sunday"
3-back,57.14,826.10 ms,"1,445.68",18 hours ago,"12:15 PM, Sunday"
3-back,66.67,"1,053.48 ms","1,580.21",21 hours ago,"12:15 PM, Sunday"
3-back,29.41,"1,016.41 ms","3,455.81",21 hours ago,"12:15 PM, Sunday"
3-back,46.67,957.33 ms,"2,051.41",1 day ago,"12:15 PM, Sunday"
3-back,60,935.49 ms,"1,559.16",1 day ago,"12:15 PM, Sunday"
3-back,46.67,818.01 ms,"1,752.88",1 day ago,"12:15 PM, Sunday"
3-back,86.67,889.22 ms,"1,026.02",2 days ago,"12:15 PM, Sunday"
3-back,50,748.87 ms,"1,497.73",2 days ago,"12:15 PM, Sunday"
3-back,60,732.07 ms,"1,220.12",2 days ago,"12:15 PM, Sunday"
3-back,40,"1,128.54 ms","2,821.34",2 days ago,"12:15 PM, Sunday"
3-back,40,648.86 ms,"1,622.15",2 days ago,"12:15 PM, Sunday"
3-back,55.56,"1,079.19 ms","1,942.54",2 days ago,"12:15 PM, Sunday"
3-back,40,892.28 ms,"2,230.69",3 days ago,"12:15 PM, Sunday"
3-back,60,697.36 ms,"1,162.27",3 days ago,"12:15 PM, Sunday"
3-back,40,889.44 ms,"2,223.60",3 days ago,"12:15 PM, Sunday"
3-back,42.86,952.07 ms,"2,221.50",3 days ago,"12:15 PM, Sunday"
3-back,53.33,902.20 ms,"1,691.63",3 days ago,"12:15 PM, Sunday"
3-back,53.33,782.81 ms,"1,467.77",3 days ago,"12:15 PM, Sunday"
3-back,50,933.58 ms,"1,867.16",3 days ago,"12:15 PM, Sunday"
3-back,33.33,"1,177.82 ms","3,533.46",3 days ago,"12:15 PM, Sunday"
3-back,60,"1,126.81 ms","1,878.01",6 hours ago,"9:36 AM, Monday"
3-back,26.67,"1,228.65 ms","4,607.44",7 hours ago,"9:36 AM, Monday"
3-back,23.08,"1,142.12 ms","4,949.17",9 hours ago,"9:36 AM, Monday"
3-back,33.33,936.30 ms,"2,808.89",13 hours ago,"9:36 AM, Monday"
3-back,71.43,795.76 ms,"1,114.06",13 hours ago,"9:36 AM, Monday"
3-back,66.67,762.71 ms,"1,144.07",14 hours ago,"9:36 AM, Monday"
3-back,33.33,"1,052.63 ms","3,157.88",14 hours ago,"9:36 AM, Monday"
3-back,53.33,991.45 ms,"1,858.98",14 hours ago,"9:36 AM, Monday"
3-back,40,"1,222.64 ms","3,056.61",14 hours ago,"9:36 AM, Monday"
3-back,60,"1,143.67 ms","1,906.11",15 hours ago,"9:36 AM, Monday"
3-back,28.57,"1,194.07 ms","4,179.25",15 hours ago,"9:36 AM, Monday"
3-back,85.71,715.79 ms,835.09,16 hours ago,"9:36 AM, Monday"
3-back,80,987.77 ms,"1,234.71",17 hours ago,"9:36 AM, Monday"
3-back,78.57,654.84 ms,833.43,17 hours ago,"9:36 AM, Monday"
3-back,50,859.37 ms,"1,718.73",19 hours ago,"9:36 AM, Monday"
3-back,53.33,"1,116.82 ms","2,094.04",29 minutes ago,"9:36 AM, Monday"
3-back,68.75,998.37 ms,"1,452.17",1 hour ago,"9:36 AM, Monday"
3-back,35.71,"1,080.78 ms","3,026.18",2 hours ago,"9:36 AM, Monday"
3-back,64.29,"1,104.60 ms","1,718.27",3 hours ago,"7:45 AM, Tuesday"
3-back,80,"1,182.32 ms","1,477.90",5 hours ago,"7:45 AM, Tuesday"
3-back,66.67,"1,130.21 ms","1,695.31",6 hours ago,"7:45 AM, Tuesday"
3-back,40,"1,084.68 ms","2,711.69",6 hours ago,"7:45 AM, Tuesday"
3-back,53.33,935.65 ms,"1,754.34",7 hours ago,"7:45 AM, Tuesday"
3-back,80,932.11 ms,"1,165.14",7 hours ago,"7:45 AM, Tuesday"
3-back,53.33,932.51 ms,"1,748.45",7 hours ago,"7:45 AM, Tuesday"
3-back,41.18,"1,089.52 ms","2,645.97",7 hours ago,"7:45 AM, Tuesday"
3-back,60,"1,086.70 ms","1,811.16",9 hours ago,"7:45 AM, Tuesday"
3-back,57.14,980.92 ms,"1,716.61",9 hours ago,"7:45 AM, Tuesday"
3-back,40,910.06 ms,"2,275.14",9 hours ago,"7:45 AM, Tuesday"
3-back,40,"1,060.00 ms","2,649.99",9 hours ago,"7:45 AM, Tuesday"
3-back,73.33,862.36 ms,"1,175.94",11 hours ago,"7:45 AM, Tuesday"
3-back,73.33,696.13 ms,949.27,11 hours ago,"7:45 AM, Tuesday"
3-back,80,927.63 ms,"1,159.54",11 hours ago,"7:45 AM, Tuesday"
3-back,60,"1,184.47 ms","1,974.12",11 hours ago,"7:45 AM, Tuesday"
3-back,50,782.43 ms,"1,564.86",11 hours ago,"7:45 AM, Tuesday"
3-back,73.33,865.17 ms,"1,179.78",11 hours ago,"7:45 AM, Tuesday"
3-back,46.67,"1,053.46 ms","2,257.42",11 hours ago,"7:45 AM, Tuesday"
3-back,81.25,"1,051.09 ms","1,293.65",12 hours ago,"7:45 AM, Tuesday"
3-back,28.57,"1,163.10 ms","4,070.85",13 hours ago,"7:45 AM, Tuesday"
3-back,0,"1,080.45 ms",0,13 hours ago,"7:45 AM, Tuesday"
3-back,60,"1,126.91 ms","1,878.18",14 hours ago,"7:45 AM, Tuesday"
3-back,53.33,"1,024.13 ms","1,920.24",10 minutes ago,"4:57 PM, Tuesday"
3-back,53.33,782.34 ms,"1,466.89",19 minutes ago,"4:57 PM, Tuesday"
3-back,73.33,894.13 ms,"1,219.27",1 hour ago,"4:57 PM, Tuesday"
3-back,60,846.92 ms,"1,411.54",4 hours ago,"4:57 PM, Tuesday"
3-back,73.33,686.78 ms,936.51,4 hours ago,"4:57 PM, Tuesday"
3-back,57.14,998.87 ms,"1,748.02",5 hours ago,"4:57 PM, Tuesday"
3-back,46.67,"1,078.09 ms","2,310.19",9 hours ago,"4:57 PM, Tuesday"
3-back,53.33,"1,106.20 ms","2,074.12",11 hours ago,"4:57 PM, Tuesday"
3-back,26.67,925.92 ms,"3,472.21",39 minutes ago,"8:49 AM, Wednesday"
3-back,60,919.17 ms,"1,531.95",5 hours ago,"8:49 AM, Wednesday"
3-back,50,741.85 ms,"1,483.70",5 hours ago,"8:49 AM, Wednesday"
3-back,50,784.18 ms,"1,568.36",6 hours ago,"8:49 AM, Wednesday"
3-back,80,886.85 ms,"1,108.56",6 hours ago,"8:49 AM, Wednesday"
3-back,35.71,"1,089.25 ms","3,049.91",6 hours ago,"8:49 AM, Wednesday"
3-back,93.33,629.76 ms,674.74,6 hours ago,"8:49 AM, Wednesday"
3-back,66.67,"1,110.14 ms","1,665.20",6 hours ago,"8:49 AM, Wednesday"
3-back,60,"1,139.16 ms","1,898.60",6 hours ago,"8:49 AM, Wednesday"
3-back,46.67,"1,096.33 ms","2,349.27",7 hours ago,"8:49 AM, Wednesday"
3-back,50,"1,086.43 ms","2,172.86",7 hours ago,"8:49 AM, Wednesday"
3-back,60,859.29 ms,"1,432.15",7 hours ago,"8:49 AM, Wednesday"
3-back,43.75,"1,021.82 ms","2,335.60",8 hours ago,"8:49 AM, Wednesday"
3-back,80,654.60 ms,818.25,8 hours ago,"8:49 AM, Wednesday"
3-back,50,847.08 ms,"1,694.16",8 hours ago,"8:49 AM, Wednesday"
3-back,35.71,"1,201.64 ms","3,364.59",8 hours ago,"8:49 AM, Wednesday"
3-back,53.33,839.31 ms,"1,573.70",8 hours ago,"8:49 AM, Wednesday"
3-back,53.33,920.84 ms,"1,726.58",8 hours ago,"8:49 AM, Wednesday"
3-back,33.33,"2,490.92 ms","7,472.75",8 hours ago,"8:49 AM, Wednesday"
3-back,40,"1,136.45 ms","2,841.12",8 hours ago,"8:49 AM, Wednesday"
3-back,73.33,962.30 ms,"1,312.22",10 hours ago,"8:49 AM, Wednesday"
3-back,68.75,987.29 ms,"1,436.06",10 hours ago,"8:49 AM, Wednesday"
3-back,60,"1,031.69 ms","1,719.48",10 hours ago,"8:49 AM, Wednesday"
3-back,60,"1,126.01 ms","1,876.68",10 hours ago,"8:49 AM, Wednesday"
3-back,66.67,979.94 ms,"1,469.91",11 hours ago,"8:49 AM, Wednesday"
4-back,33.33,734.19 ms,"2,202.57",2 days ago,"12:15 PM, Sunday"
4-back,60,791.75 ms,"1,319.59",3 days ago,"12:15 PM, Sunday"
4-back,66.67,724.12 ms,"1,086.18",3 days ago,"12:15 PM, Sunday"
4-back,57.14,875.03 ms,"1,531.30",3 days ago,"12:15 PM, Sunday"
4-back,46.67,858.15 ms,"1,838.89",6 hours ago,"9:36 AM, Monday"
4-back,71.43,796.36 ms,"1,114.91",13 hours ago,"9:36 AM, Monday"
4-back,26.67,382.35 ms,"1,433.82",13 hours ago,"9:36 AM, Monday"
4-back,47.06,947.87 ms,"2,014.23",19 hours ago,"9:36 AM, Monday"
4-back,80,892.13 ms,"1,115.16",1 hour ago,"9:36 AM, Monday"
4-back,13.33,989.24 ms,"7,419.30",2 hours ago,"9:36 AM, Monday"
4-back,60,929.16 ms,"1,548.60",7 hours ago,"7:45 AM, Tuesday"
4-back,64.29,"1,016.17 ms","1,580.72",9 hours ago,"7:45 AM, Tuesday"
4-back,46.67,"1,015.33 ms","2,175.70",12 hours ago,"7:45 AM, Tuesday"
4-back,50,"1,143.19 ms","2,286.38",1 hour ago,"4:57 PM, Tuesday"
4-back,33.33,"1,026.13 ms","3,078.38",4 hours ago,"4:57 PM, Tuesday"
4-back,66.67,817.66 ms,"1,226.49",6 hours ago,"8:49 AM, Wednesday"
4-back,60,955.00 ms,"1,591.67",6 hours ago,"8:49 AM, Wednesday"
4-back,53.33,"1,031.95 ms","1,934.90",6 hours ago,"8:49 AM, Wednesday"
4-back,28.57,"1,171.96 ms","4,101.86",7 hours ago,"8:49 AM, Wednesday"
4-back,26.67,"1,004.31 ms","3,766.15",7 hours ago,"8:49 AM, Wednesday"
4-back,53.33,960.98 ms,"1,801.84",7 hours ago,"8:49 AM, Wednesday"
4-back,60,578.54 ms,964.24,8 hours ago,"8:49 AM, Wednesday"
4-back,53.33,"1,074.93 ms","2,015.49",8 hours ago,"8:49 AM, Wednesday"
4-back,28.57,"1,184.52 ms","4,145.83",9 hours ago,"8:49 AM, Wednesday"
5-back,60,810.71 ms,"1,351.18",4 hours ago,"8:49 AM, Wednesday"
5-back,35.71,994.43 ms,"2,784.40",3 days ago,"8:49 AM, Wednesday"
5-back,53.33,"1,253.00 ms","2,349.38",3 days ago,"8:49 AM, Wednesday"
6-back,53.33,748.23 ms,"1,402.94",4 hours ago,"8:49 AM, Wednesday"
7-back,28.57,888.39 ms,"3,109.38",4 hours ago,"8:49 AM, Wednesday"
7-back,26.67,"1,175.93 ms","4,409.75",15 hours ago,"8:49 AM, Wednesday"
8-back,26.67,877.88 ms,"3,292.04",4 days ago,"8:49 AM, Wednesday"
4-back,50,893.20 ms,"1,786.41",10 hours ago,"8:49 AM, Wednesday"
4-back,53.33,"1,150.35 ms","2,156.91",10 hours ago,"8:49 AM, Wednesday"
4-back,60,954.78 ms,"1,591.30",11 hours ago,"8:49 AM, Wednesday"
4-back,40,869.54 ms,"2,173.85",11 hours ago,"8:49 AM, Wednesday"
4-back,33.33,972.62 ms,"2,917.85",12 hours ago,"8:49 AM, Wednesday"
4-back,33.33,"1,156.56 ms","3,469.67",12 hours ago,"8:49 AM, Wednesday"
4-back,46.67,840.58 ms,"1,801.24",12 hours ago,"8:49 AM, Wednesday"
4-back,66.67,"1,106.11 ms","1,659.16",15 hours ago,"8:49 AM, Wednesday"
4-back,33.33,948.67 ms,"2,846.00",15 hours ago,"8:49 AM, Wednesday"
4-back,40,"1,078.44 ms","2,696.09",15 hours ago,"8:49 AM, Wednesday"
4-back,50,"1,143.19 ms","2,286.38",17 hours ago,"8:49 AM, Wednesday"
4-back,33.33,"1,026.13 ms","3,078.38",20 hours ago,"8:49 AM, Wednesday"
